,,,,,,,,,TCost,TCost,TCost,TCost,TCost,Cost,Cost,Cost,Cost,Cost,Park,Park,Park,Park,Park,TTime,TTime,TTime,TTime,TTime,VehTime,VehTime,VehTime,VehTime,VehTime,AccTime,AccTime,AccTime,AccTime,AccTime,WTime,WTime,WTime,WTime,WTime,SafeTime,SafeTime,SafeTime,SafeTime,SafeTime,Trans,Trans,Trans,Trans,Trans,Delay,Delay,Delay,Delay,Delay,WC,WC,WC,WC,WC,ChkIn,ChkIn,ChkIn,ChkIn,ChkIn,,,,,,,,,,,,,,,
,,,,,,,,,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,,,,,,,,,,,,,,,
,,,,,,2,3,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,TTime_MT,TTime_Car,TTime_Taxi,TTime_Bus,TTime_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT,Gender,Age,Married,Nat,Resident,Job,Edu,Veh_Own,DrL,Ind_MT,HH_MT,Ind_Car,HH_car,MODE_Main,CarB_Fu
887,S5,5,3,444,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Private firm employee,Bachelor,yes,motorbike,1,0,0,0,Motorbike,none
888,S7,7,3,444,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Private firm employee,Bachelor,yes,motorbike,1,0,0,0,Motorbike,none
889,S5,5,3,445,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Lao,Vientiane,Government official,college,yes,motorbike,0,0,0,0,Motorbike,none
890,S7,7,3,445,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Lao,Vientiane,Government official,college,yes,motorbike,0,0,0,0,Motorbike,none
891,S5,5,3,446,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Lao,Vientiane,Government official,Bachelor,yes,car,1,0,1,0,Private car,above 10
892,S7,7,3,446,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Lao,Vientiane,Government official,Bachelor,yes,car,1,0,1,0,Private car,above 10
893,S1,1,1,447,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Non-Vientiane,Government official,Bachelor,yes,motorbike,1,0,1,0,Private car,none
894,S3,3,1,447,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Non-Vientiane,Government official,Bachelor,yes,motorbike,1,0,1,0,Private car,none
895,S5,5,3,448,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,1,3,Private car,less 5
896,S7,7,3,448,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,1,3,Private car,less 5
897,S5,5,3,449,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,0,0,0,Motorbike,5 – 10
898,S7,7,3,449,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,0,0,0,Motorbike,5 – 10
899,S5,5,3,450,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,0,0,0,0,Private car,less 5
900,S7,7,3,450,car,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,0,0,0,0,Private car,less 5
901,S5,5,3,451,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,college,yes,motorbike,1,0,0,0,Motorbike,above 10
902,S7,7,3,451,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,college,yes,motorbike,1,0,0,0,Motorbike,above 10
903,S1,1,1,452,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,3,0,3,0,Private car,5 – 10
904,S3,3,1,452,car,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,3,0,3,0,Private car,5 – 10
905,S5,5,3,453,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,1,0,1,0,other: office car,above 10
906,S7,7,3,453,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,1,0,1,0,other: office car,above 10
907,S6,6,4,454,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Non-Vientiane,Student/pupil,college,yes,both,1,3,1,4,Private car,less 5
908,S8,8,4,454,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Non-Vientiane,Student/pupil,college,yes,both,1,3,1,4,Private car,less 5
909,S6,6,4,455,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,married,Lao,Vientiane,Government official,Bachelor,yes,both,1,1,0,0,Motorbike,5 – 10
910,S8,8,4,455,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,married,Lao,Vientiane,Government official,Bachelor,yes,both,1,1,0,0,Motorbike,5 – 10
911,S5,5,3,456,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,married,Lao,Vientiane,Government official,master/doctor,yes,car,0,1,0,1,Private car,none
912,S7,7,3,456,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,married,Lao,Vientiane,Government official,master/doctor,yes,car,0,1,0,1,Private car,none
913,S1,1,1,457,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,1,4,0,0,Motorbike,5 – 10
914,S3,3,1,457,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,1,4,0,0,Motorbike,5 – 10
915,S5,5,3,458,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,31-40,married,Lao,Vientiane,Government official,master/doctor,share with other,motorbike,1,1,0,0,Motorbike,5 – 10
916,S7,7,3,458,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,31-40,married,Lao,Vientiane,Government official,master/doctor,share with other,motorbike,1,1,0,0,Motorbike,5 – 10
917,S1,1,1,459,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Lao,Vientiane,Government official,Bachelor,share with other,car,1,0,1,0,Private car,none
918,S3,3,1,459,car,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Lao,Vientiane,Government official,Bachelor,share with other,car,1,0,1,0,Private car,none
919,S5,5,3,460,motorbike,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Lao,Vientiane,Government official,master/doctor,yes,no,0,0,0,0,Motorbike,less 5
920,S7,7,3,460,motorbike,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Lao,Vientiane,Government official,master/doctor,yes,no,0,0,0,0,Motorbike,less 5
921,S2,2,2,461,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,no,0,2,0,0,Motorbike,less 5
922,S4,4,2,461,car,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,no,0,2,0,0,Motorbike,less 5
923,S2,2,2,462,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,3,0,1,0,Private car,less 5
924,S4,4,2,462,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,3,0,1,0,Private car,less 5
925,S6,6,4,463,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,1,0,0,0,public bus,5 – 10
926,S8,8,4,463,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,motorbike,1,0,0,0,public bus,5 – 10
927,S6,6,4,464,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,5,0,Private car,above 10
928,S8,8,4,464,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,car,0,0,5,0,Private car,above 10
929,S1,1,1,465,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,1,0,2,Private car,none
930,S3,3,1,465,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,Bachelor,yes,both,0,1,0,2,Private car,none
931,S2,2,2,466,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,IRISH,foreigner,other: midwife,Bachelor,share with other,both,0,0,1,3,Tuk-tuk/Jumbo,less 5
932,S4,4,2,466,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,IRISH,foreigner,other: midwife,Bachelor,share with other,both,0,0,1,3,Tuk-tuk/Jumbo,less 5
933,S5,5,3,467,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Australia,foreigner,Private firm employee,under or high school,yes,car,0,0,1,1,Private car,5 – 10
934,S7,7,3,467,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Australia,foreigner,Private firm employee,under or high school,yes,car,0,0,1,1,Private car,5 – 10
935,S5,5,3,468,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Italy,foreigner,other: engineer,master/doctor,yes,car,0,0,1,3,Private car,none
936,S7,7,3,468,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Italy,foreigner,other: engineer,master/doctor,yes,car,0,0,1,3,Private car,none
937,S6,6,4,469,taxi,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,Italy,foreigner,other: doctor,Bachelor,yes,car,1,1,0,2,Motorbike,less 5
938,S8,8,4,469,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,Italy,foreigner,other: doctor,Bachelor,yes,car,1,1,0,2,Motorbike,less 5
939,S1,1,1,470,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,IRISH,foreigner,Professor/Teacher,college,yes,car,0,0,1,1,Tuk-tuk/Jumbo,less 5
940,S3,3,1,470,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,single,IRISH,foreigner,Professor/Teacher,college,yes,car,0,0,1,1,Tuk-tuk/Jumbo,less 5
941,S1,1,1,471,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,Above 60,married,Lao,Non-Vientiane,Self-employed person,Bachelor,share with other,1,0,1,0,0,Private car,less 5
